,precision,recall,f1-score,support
0.0,0.44565217391304346,1.0,0.6165413533834586,82.0
1.0,0.0,0.0,0.0,53.0
2.0,0.0,0.0,0.0,22.0
3.0,0.0,0.0,0.0,21.0
4.0,0.0,0.0,0.0,6.0
accuracy,0.44565217391304346,0.44565217391304346,0.44565217391304346,0.44565217391304346
macro avg,0.0891304347826087,0.2,0.12330827067669173,184.0
weighted avg,0.19860586011342155,0.44565217391304346,0.2747629944426283,184.0
